Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2016,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2014,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2020,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2022,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2021,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2004,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2005,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2006,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2019,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2007,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2008,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2009,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2010,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2017,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2018,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2003,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2011,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2012,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2013,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
2015,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.01
2016,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.02
2014,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.01
2020,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.04
2022,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.04
2021,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.04
2004,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0
2005,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.01
2006,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0
2019,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.04
2007,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0
2008,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0
2009,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0
2010,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.06
2017,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.03
2018,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.04
2003,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0
2011,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.04
2012,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.02
2013,Public spending on active labour market policies,EST,Estonia,Employment incentives,Share of GDP,0.02
2015,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2016,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2014,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2020,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2022,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2021,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2004,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0
2005,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0
2006,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0
2019,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2007,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0
2008,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0
2009,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.02
2010,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.02
2017,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2018,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2003,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0
2011,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2012,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2013,Public spending on active labour market policies,EST,Estonia,Start-up incentives,Share of GDP,0.01
2015,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.08
2016,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.08
2014,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.07
2020,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.14
2022,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.13
2021,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.15
2004,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.03
2005,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.03
2006,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.04
2019,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.12
2007,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.02
2008,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.02
2009,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.12
2010,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.05
2017,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.07
2018,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.09
2003,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.04
2011,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.08
2012,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.14
2013,Public spending on active labour market policies,EST,Estonia,Training,Share of GDP,0.1
2015,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.08
2016,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.07
2014,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.08
2020,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.04
2022,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.03
2021,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.04
2004,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.04
2005,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.05
2006,Public spending on active labour market policies,DNK,Denmark,Placement and related services,Share of GDP,0.06
